algorithm,level,k,query_type,run_id,struct_id,assignment,estimated_cost,estimated_latency,estimated_energy,estimated_qoa,is_pareto,time_s
DP+Delta,0,1,Politics,0,0,"(3,)",9.15e-06,13.0933832,9.1437308,0.08,True,0.006309986114501953
DP+Delta,0,1,Politics,0,0,"(4,)",1.2745e-05,8.214346500000001,11.4386643,0.1,True,0.006309986114501953
MOQO,0,1,Politics,0,0,"(3,)",9.15e-06,13.0933832,9.1437308,0.08,True,1.3001751899719238
MOQO,0,1,Politics,0,0,"(4,)",1.2745e-05,8.214346500000001,11.4386643,0.1,True,1.3001751899719238
MOQO,0,1,Politics,0,0,"(0,)",3.941e-06,21.7896846,14.1564918,0.059,True,1.3001751899719238
MOQO,0,1,Politics,0,0,"(1,)",7.4965e-06,20.445,14.382376,0.354,True,1.3001751899719238
MOQO,0,1,Politics,1,0,"(4,)",1.2745e-05,8.214346500000001,11.4386643,0.1,True,1.3002469539642334
MOQO,0,1,Politics,1,0,"(3,)",9.15e-06,13.0933832,9.1437308,0.08,True,1.3002469539642334
MOQO,0,1,Politics,1,0,"(1,)",7.4965e-06,20.445,14.382376,0.354,True,1.3002469539642334
MOQO,0,1,Politics,1,0,"(0,)",3.941e-06,21.7896846,14.1564918,0.059,True,1.3002469539642334
MOQO,0,1,Politics,2,0,"(0,)",3.941e-06,21.7896846,14.1564918,0.059,True,1.3002610206604004
MOQO,0,1,Politics,2,0,"(3,)",9.15e-06,13.0933832,9.1437308,0.08,True,1.3002610206604004
MOQO,0,1,Politics,2,0,"(4,)",1.2745e-05,8.214346500000001,11.4386643,0.1,True,1.3002610206604004
MOQO,0,1,Politics,2,0,"(1,)",7.4965e-06,20.445,14.382376,0.354,True,1.3002610206604004
DP+Delta,0,1,Science and technology,0,0,"(0,)",4.0734e-06,22.39762,14.55146,0.059,True,0.0064089298248291016
DP+Delta,0,1,Science and technology,0,0,"(1,)",7.562500000000001e-06,20.625,14.509,0.354,True,0.0064089298248291016
DP+Delta,0,1,Science and technology,0,0,"(2,)",1.0132e-05,19.866617,14.9,0.03,False,0.0064089298248291016
DP+Delta,0,1,Science and technology,0,0,"(3,)",9.053999999999998e-06,13.2563316,9.2575254,0.08,True,0.0064089298248291016
DP+Delta,0,1,Science and technology,0,0,"(4,)",1.2773e-05,8.2982275,11.5554705,0.1,True,0.0064089298248291016
MOQO,0,1,Science and technology,0,0,"(3,)",9.053999999999998e-06,13.2563316,9.2575254,0.08,True,1.3001348972320557
MOQO,0,1,Science and technology,0,0,"(4,)",1.2773e-05,8.2982275,11.5554705,0.1,True,1.3001348972320557
MOQO,0,1,Science and technology,0,0,"(0,)",4.0734e-06,22.39762,14.55146,0.059,True,1.3001348972320557
MOQO,0,1,Science and technology,0,0,"(1,)",7.562500000000001e-06,20.625,14.509,0.354,True,1.3001348972320557
MOQO,0,1,Science and technology,1,0,"(4,)",1.2773e-05,8.2982275,11.5554705,0.1,True,1.3000221252441406
MOQO,0,1,Science and technology,1,0,"(3,)",9.053999999999998e-06,13.2563316,9.2575254,0.08,True,1.3000221252441406
MOQO,0,1,Science and technology,1,0,"(1,)",7.562500000000001e-06,20.625,14.509,0.354,True,1.3000221252441406
MOQO,0,1,Science and technology,1,0,"(0,)",4.0734e-06,22.39762,14.55146,0.059,True,1.3000221252441406
MOQO,0,1,Science and technology,2,0,"(0,)",4.0734e-06,22.39762,14.55146,0.059,True,1.300271987915039
MOQO,0,1,Science and technology,2,0,"(3,)",9.053999999999998e-06,13.2563316,9.2575254,0.08,True,1.300271987915039
MOQO,0,1,Science and technology,2,0,"(4,)",1.2773e-05,8.2982275,11.5554705,0.1,True,1.300271987915039
MOQO,0,1,Science and technology,2,0,"(1,)",7.562500000000001e-06,20.625,14.509,0.354,True,1.300271987915039
DP+Delta,0,1,Sports,0,0,"(0,)",4.0172e-06,22.0616557,14.3331881,0.059,True,0.006669044494628906
DP+Delta,0,1,Sports,0,0,"(1,)",7.491e-06,20.43,14.371824,0.354,True,0.006669044494628906
DP+Delta,0,1,Sports,0,0,"(2,)",9.468e-06,19.066619,14.3,0.03,True,0.006669044494628906
DP+Delta,0,1,Sports,0,0,"(3,)",9.786e-06,13.3905244,9.3512386,0.08,True,0.006669044494628906
DP+Delta,0,1,Sports,0,0,"(4,)",1.2783e-05,8.244304,11.4803808,0.1,True,0.006669044494628906
MOQO,0,1,Sports,0,0,"(3,)",9.786e-06,13.3905244,9.3512386,0.08,True,1.3000991344451904
MOQO,0,1,Sports,0,0,"(2,)",9.468e-06,19.066619,14.3,0.03,True,1.3000991344451904
MOQO,0,1,Sports,0,0,"(4,)",1.2783e-05,8.244304,11.4803808,0.1,True,1.3000991344451904
MOQO,0,1,Sports,0,0,"(0,)",4.0172e-06,22.0616557,14.3331881,0.059,True,1.3000991344451904
MOQO,0,1,Sports,0,0,"(1,)",7.491e-06,20.43,14.371824,0.354,True,1.3000991344451904
